cid,course name,subject
BIOL150,Organismal and Evolutionary Ecology,BIOL
BUS111W,Introduction to Business Organization (WLU),BUS
PD8,Intercultural Skills,PD
CS330,Management Information Systems,CS
ECE207,Signals and Systems,ECE
PSYCH261,Physiological Psychology,PSYCH
CHEM237,Introductory Biochemistry,CHEM
ENVS278,Applied Statistics for Environmental Research,ENVS
GENE121,Digital Computation,GENE
MTE120,Circuits,MTE
BET100,Foundations of Entrepreneurial Practice,BET
ENGL108D,Digital Lives,ENGL
GEOG181,Designing Effective Maps,GEOG
ME100,Introduction to Mechanical Engineering Practice 1,ME
PD10,Professional Responsibility in Computing,PD
SPAN101,Introduction to Spanish 1,SPAN
ECE155,Engineering Design with Embedded Systems,ECE
INTST101,Introduction to International Studies,INTST
COOP3,Co-operative Work Term,COOP
SYDE182,Physics 2: Dynamics,SYDE
STAT331,Applied Linear Models,STAT
AFM121,Introduction to Global Financial Markets,AFM
SE350,Operating Systems,SE
ECE224,Embedded Microprocessor Systems,ECE
FR192A,French Language 1: Module 1,FR
MATH146,Linear Algebra 1 (Advanced Level),MATH
MTHEL199,Special Topics,MTHEL
BIOL373,Principles of Human Physiology 2,BIOL
CS456,Computer Networks,CS
CS458,Computer Security and Privacy,CS
MTE119,Statics,MTE
AFM231,Business Law,AFM
BIOL308,Principles of Molecular Biology,BIOL
PLAN102,Professional Communication,PLAN
MATH148,Calculus 2 (Advanced Level),MATH
EARTH122,Introductory Environmental Sciences,EARTH
ARBUS200,Entrepreneurship Principles and Practices,ARBUS
ENGL193,Communication in the Sciences,ENGL
MTHEL131,Introduction to Actuarial Practice,MTHEL
STAT441,Statistical Learning - Classification,STAT
SYDE111,Calculus 1,SYDE
SYDE113,Elementary Engineering Mathematics,SYDE
ECE108,Discrete Mathematics and Logic 1,ECE
PD19,Tactics for Workplace Success,PD
ECE100B,Electrical and Computer Engineering Practice,ECE
PLAN105,Introduction to Planning Analysis,PLAN
ARBUS202,Professional and Business Ethics,ARBUS
PLAN104,Perspectives on Planning,PLAN
BIOL359,Evolution 1: Mechanisms,BIOL
MATH109,Mathematics for Accounting,MATH
PD5,Project Management,PD
WKRPT400,Work-term Report,WKRPT
BIOL241,Introduction to Applied Microbiology,BIOL
KIN100,Regional Human Anatomy,KIN
ARBUS102,Accounting Information for Managers,ARBUS
ECE380,Analog Control Systems,ECE
PHYS124,Modern Physics,PHYS
CS488,Introduction to Computer Graphics,CS
GENE119,Problems Seminar,GENE
KIN217,Human Biochemistry,KIN
AFM291,Intermediate Financial Accounting 1,AFM
ME115,Structure and Properties of Materials,ME
MUSIC246,Soundtracks: Music in Film,MUSIC
SE465,Software Testing and Quality Assurance,SE
CS234,Data Types and Structures,CS
CS241E,Foundations of Sequential Programs (Enriched),CS
ECE318,Communication Systems,ECE
FINE130,Introduction to Digital Imaging,FINE
GEOG102,Global Environmental Systems: Processes and Change,GEOG
KIN100L,Regional Human Anatomy Laboratory,KIN
FR192B,French Language 1: Module 2,FR
PHYS234,Quantum Physics 1,PHYS
SE380,Introduction to Feedback Control,SE
MATH227,Calculus 3 for Honours Physics,MATH
ME351,Fluid Mechanics 1,ME
CHEM140,Introduction to Scientific Calculations,CHEM
PLAN110,Visual Approaches to Design and Communication,PLAN
MATH215,Linear Algebra for Engineering,MATH
ME219,Mechanics of Deformable Solids 1,ME
PHIL226,Biomedical Ethics,PHIL
COMMST223,Public Speaking,COMMST
AFM132,Introduction to Business Stages,AFM
SYDE252,Linear Systems and Signals,SYDE
PHYS121L,Mechanics Laboratory,PHYS
SE463,Software Requirements Specification and Analysis,SE
STAT211,Introductory Statistics and Sampling for Accounting,STAT
SYDE101L,Communications in Systems Design Engineering-Visualization,SYDE
ANTH100,Introduction to Anthropology,ANTH
CS444,Compiler Construction,CS
ECE242,Electronic Circuits 2,ECE
SYDE161,Introduction to Design,SYDE
CO487,Applied Cryptography,CO
REC100,Introduction to the Study of Recreation and Leisure,REC
AFM191,Foundations for Financial Reporting,AFM
AFM111,Professional Pathways and Problem-Solving,AFM
MATH114,Linear Algebra for Science,MATH
PD12,Critical Reflection for Growth in the Workplace,PD
SE102,Seminar,SE
BIOL309,Analytical Methods in Molecular Biology,BIOL
ECE204,Numerical Methods,ECE
MATH249,Introduction to Combinatorics (Advanced Level),MATH
ENGL101B,Introduction to Rhetorical Studies,ENGL
GEOG281,Introduction to Geographic Information Systems (GIS),GEOG
HLTH102,Introduction to Health 2,HLTH
HLTH245,Canadian Health Systems,HLTH
SYDE181,Physics 1: Statics,SYDE
MATH228,Differential Equations for Physics and Chemistry,MATH
SPCOM193,Communication in the Sciences,SPCOM
STAT341,Computational Statistics and Data Analysis,STAT
SYDE121,Digital Computation,SYDE
KOREA101R,First-Year Korean 1,KOREA
SYDE112,Calculus 2,SYDE
WKRPT200M,Work-term Report,WKRPT
ARTS190,First-Year Topics in Arts Disciplines,ARTS
BIOL165,Diversity of Life,BIOL
BUS121W,Functional Areas of the Organization (WLU),BUS
CHEM267,Basic Organic Chemistry 2,CHEM
EARTH121L,Introductory Earth Sciences Laboratory,EARTH
PSYCH291,Basic Research Methods,PSYCH
SYDE101,Communications in Systems Design Engineering-Written and Oral,SYDE
ACTSC371,Introduction to Investments,ACTSC
ECE200A,Electrical and Computer Engineering Practice,ECE
EMLS101R,Oral Communications for Academic Purposes,EMLS
GER101,Elementary German 1,GER
SE464,Software Design and Architectures,SE
SYDE351,Systems Models 1,SYDE
BIOL303,Introductory Developmental Biology and Embryology,BIOL
PHYS175,Introduction to the Universe,PHYS
SYDE114,Matrices and Linear Systems,SYDE
CS338,Computer Applications in Business: Databases,CS
ME101,Introduction to Mechanical Engineering Practice 2,ME
MTE202,Ordinary Differential Equations,MTE
HLTH201,Aging and Health,HLTH
KIN104,Fundamentals of Kinesiology,KIN
ECE327,Digital Hardware Systems,ECE
MTE201,Experimental Measurement and Statistical Analysis,MTE
BIOL120,Introduction to Plant Structure and Function,BIOL
CHEM237L,Introductory Biochemistry Laboratory,CHEM
FR152,Basic French 2,FR
ME230,Control of Properties of Materials,ME
ME321,Kinematics and Dynamics of Machines,ME
PHYS256,Geometrical and Physical Optics,PHYS
STAT332,Sampling and Experimental Design,STAT
CIVE104,Mechanics 1,CIVE
ECE316,Probability Theory and Statistics,ECE
ECE457A,Co-operative and Adaptive Algorithms,ECE
MATH245,Linear Algebra 2 (Advanced Level),MATH
PD21,Engineering Workplace Skills II: Developing Effective Plans,PD
COOP4,Co-operative Work Term,COOP
