cid,course name,subject
SE491,Design Project 2,SE
SPCOM101,Theories of Communication,SPCOM
STAT431,Generalized Linear Models and their Applications,STAT
AFM206,Introduction to Tax,AFM
AHS105,Mental Health Literacy,AHS
BIOL139,Genetics,BIOL
BME182,Physics 2: Dynamics,BME
BME282,Materials Science for Biomedical Engineers,BME
CIVE205,Solid Mechanics 2,CIVE
ECE102,Information Session,ECE
ECE455,Embedded Software,ECE
ENGL210C,Genres of Creative Writing,ENGL
ESL102R,Error Correction in Academic Writing,ESL
GEOG100,On Becoming a Geographer,GEOG
GEOG233,Geography of Tourism,GEOG
KIN202,Exercise Physiology and Metabolism,KIN
KIN340,Musculoskeletal Injuries in Sport and Activity,KIN
MNS101,Materials and Nanosciences in the Modern World,MNS
NE140,Linear Circuits,NE
PHYS242L,Electricity and Magnetism Laboratory,PHYS
PHYS342,Electricity and Magnetism 2,PHYS
HEALTH105,Mental Health Literacy,HEALTH
ACTSC331,Life Contingencies 2,ACTSC
AFM331,Business Strategy,AFM
AFM433,Business Strategy,AFM
AMATH251,Introduction to Differential Equations (Advanced Level),AMATH
ANTH101,Human and Cultural Evolution,ANTH
ANTH204,Biological Anthropology,ANTH
BME162,Human Factors in the Design of Biomedical and Health Systems,BME
CIVE280,Fluid Mechanics,CIVE
CO331,Coding Theory,CO
CS451,Data-Intensive Distributed Computing,CS
ENGL208B,Science Fiction,ENGL
GER102,Elementary German 2,GER
KOREA102R,First-Year Korean 2,KOREA
ME459,Energy Conversion,ME
PHYS232L,Measurement Laboratory,PHYS
PMATH336,Introduction to Group Theory with Applications,PMATH
PMATH365,Differential Geometry,PMATH
SYDE381,Thermodynamics,SYDE
WKRPT201,Work-term Report,WKRPT
ASL101R,American Sign Language 1,ASL
ARBUS302,Principles of Marketing,ARBUS
CHE121,Engineering Computation,CHE
CS452,Real-time Programming,CS
EARTH231,Mineralogy,EARTH
EARTH458,Physical Hydrogeology,EARTH
EASIA100R,Introduction to East Asia,EASIA
ERS110,Environmental Analysis and Solutions I: Foundations,ERS
FINE112,Modern Art: 1874-1945,FINE
GEOG294,Approaches to Research in Physical Geography,GEOG
GEOG306,Human Dimensions of Natural Hazards,GEOG
GEOG387,Spatial Databases,GEOG
HIST110,A History of the Western World 1,HIST
KIN202L,Exercise Physiology and Metabolism Laboratory,KIN
ME100B,Seminar,ME
MTE309,Introduction to Thermodynamics and Heat Transfer,MTE
NE241,Electromagnetism,NE
PHYS363,Intermediate Classical Mechanics,PHYS
PSYCH212,Educational Psychology,PSYCH
PSYCH356,Personality,PSYCH
SCBUS122,Management of Business Organizations,SCBUS
STAT337,Introduction to Biostatistics,STAT
STAT430,Experimental Design,STAT
SYDE312,Applied Linear Algebra,SYDE
SYDE383,Fluid Mechanics,SYDE
WS101,An Introduction to Women's Studies,WS
AMATH353,Partial Differential Equations 1,AMATH
CHE180,Chemical Engineering Design Studio 1,CHE
CHINA201R,Second-Year Chinese 1,CHINA
CIVE353,Geotechnical Engineering 1,CIVE
EARTH342,Geomorphology and GIS Applications,EARTH
ENGL200A,English Literatures 1,ENGL
ENVS220,Ecological Economics,ENVS
GEOG201,Fluvial Geomorphology,GEOG
JAPAN202R,Second-Year Japanese 2,JAPAN
KIN121L,Biomechanics of Human Movement Laboratory,KIN
KIN204L,Movement Assessment and Exercise Prescription Laboratory,KIN
KIN250,Sociology of Physical Activity,KIN
MSCI271,Advanced Calculus and Numerical Methods,MSCI
MSCI446,Introduction to Machine Learning,MSCI
NE220L,Materials Science and Engineering Laboratory,NE
SDS251R,Social Research,SDS
AFM280,Introduction to Organizational Behaviour,AFM
AFM311,Connections to Ethical Context,AFM
AFM321,Personal Financial Planning and Taxation,AFM
AMATH350,Differential Equations for Business and Economics,AMATH
ANTH202,Social and Cultural Anthropology,ANTH
CHE200,Equilibrium Stage Operations,CHE
ECE307,Probability Theory and Statistics 2,ECE
ECE309,Introduction to Thermodynamics and Heat Transfer,ECE
ECE361,Power Systems and Components,ECE
EMLS103R,Effective English Pronunciation,EMLS
INTEG220,Nature of Scientific Knowledge,INTEG
KIN205,Muscle Physiology in Exercise and Work,KIN
KIN343,Micronutrient Metabolism,KIN
KIN346,Human Nutrition and Metabolism,KIN
KIN406,Physiology of Muscle Aging and Disease,KIN
MATH211,Advanced Calculus 1 for Electrical and Computer Engineers,MATH
NE201,Nanotoxicology; Nanotechnology Engineering Practice,NE
PACS101,Peace is Everybody's Business,PACS
PHIL224,Environmental Ethics,PHIL
SDS250R,Social Statistics,SDS
STAT373,Regression and Forecasting Methods in Finance,STAT
SYDE411,Optimization and Numerical Methods,SYDE
COMMST193,Communication in the Sciences,COMMST
AFM212,Financial Analysis and Planning,AFM
BET300,Foundations of Venture Creation,BET
CHE211,Fluid Mechanics,CHE
CS106,Introduction to Computer Programming 2,CS
ECON212,Introduction to Game Theory,ECON
ECON254,Economics of Sport,ECON
ECON290,Models of Choice in Competitive Markets,ECON
ENGL108F,The Rebel,ENGL
ENGL292,Rhetorical Theory and Criticism,ENGL
ERS102,Sustainability and the Really Long View,ERS
FINE150,Appreciation and Expression,FINE
GEOG206,Human Dimensions of Natural Hazards,GEOG
HLTH103,Biological Determinants of Health,HLTH
KIN221L,Advanced Biomechanics of Human Movement Laboratory,KIN
KIN255L,Fundamentals of Neuroscience Laboratory,KIN
ME235,Materials Science and Engineering,ME
ME481,Mechanical Engineering Design Project 1,ME
NE122,Organic Chemistry for Nanotechnology Engineers,NE
NE336,Micro and Nanosystem Computer-aided Design,NE
PD4,Teamwork,PD
PSYCH218,Psychology of Death and Dying,PSYCH
STAT372,Survey Sampling and Experimental Design Techniques for Business,STAT
CHEM125L,Chemical Reaction Laboratory 2,CHEM
ANTH201,Introduction to Archaeology,ANTH
BIOL342,Molecular Biotechnology 1,BIOL
BIOL350,Ecosystem Ecology,BIOL
CHE241,Materials Science and Engineering,CHE
CHEM262,Organic Chemistry for Engineering,CHEM
CHEM262L,Organic Chemistry Laboratory for Engineering Students,CHEM
CHEM360,Organic Chemistry 3,CHEM
CIVE241,Transport Principles and Applications,CIVE
ESL129R,Written Academic English,ESL
KIN242,Introduction to Movement Disorders,KIN
KIN407,Cardiovascular Pathophysiology,KIN
LAT101,Introductory Latin 1,LAT
MATH217,Calculus 3 for Chemical Engineering,MATH
MSCI263,Managerial Economics,MSCI
MUSIC111,Fundamentals of Music Theory,MUSIC
MUSIC117,Music Ensemble,MUSIC
PHYS225,Modeling Life Physics,PHYS
PHYS364,Mathematical Physics 1,PHYS
SYDE352L,Control Systems Laboratory,SYDE
SYDE575,Image Processing,SYDE
CFM101,Introduction to Financial Markets and Data Analytics,CFM
AFM207,Introduction to Performance Analytics,AFM
BME281,Mechanics of Deformable Solids,BME
CHE230,Physical Chemistry 1,CHE
ENBUS112,Operationalizing Sustainable Development within Business,ENBUS
ENGL104,Rhetoric in Popular Culture,ENGL
ENVS105,Environmental Sustainability and Ethics,ENVS
ENVS205,Sustainability: The Future We Want,ENVS
ME200A,Seminar,ME
NE224,Biochemistry for Nanotechnology Engineers,NE
NE225,Structure and Properties of Nanomaterials,NE
PHYS280,Introduction to Biophysics,PHYS
PHYS359,Statistical Mechanics,PHYS
SCBUS223,Workshop 2: Strategies Behind Technological Innovation,SCBUS
SCBUS225,Organizational Behaviour in Scientific and Technical Workplaces,SCBUS
SE401,Seminar,SE
HLTH205,Introduction to Health Research,HLTH
CS346,Application Development,CS
ACTSC445,Quantitative Enterprise Risk Management,ACTSC
AFM244,Analytic Methods for Business 3,AFM
AFM371,Managerial Finance 2,AFM
AFM482,Performance Measurement and Organization Control,AFM
AMATH271,Introduction to Theoretical Mechanics,AMATH
AVIA101,Professional Pilot Program Course 1,AVIA
AVIA203,Professional Pilot Program Course 3,AVIA
BME281L,Mechanics of Deformable Solids Laboratory,BME
CHE220,Process Data Analysis,CHE
CHINA102R,First-Year Chinese 2,CHINA
CIVE303,Structural Analysis,CIVE
CIVE392,Economics and Life Cycle Cost Analysis,CIVE
CS240E,Data Structures and Data Management (Enriched),CS
CS476,Numeric Computation for Financial Modeling,CS
ECE457B,Fundamentals of Computational Intelligence,ECE
ENBUS203,Green Entrepreneurship,ENBUS
ENBUS302,Strategies for Environment and Business,ENBUS
FINE101,Art History and Visual Culture,FINE
ME423,Mechanical Design 2,ME
ME561,Fluid Power Control Systems,ME
MSCI431,Stochastic Models and Methods,MSCI
MTE544,Autonomous Mobile Robots,MTE
NE226,Characterization of Materials,NE
NE242,Semiconductor Physics and Devices,NE
PSYCH230,Psychology and Law,PSYCH
SE302,Seminar,SE
SOC227,Criminology,SOC
SYDE352,Introduction to Control Systems,SYDE
BUS288W,Organizational Behaviour 1 (WLU),BUS
AFM363,Taxation 2 - Integration,AFM
ARTS111,Career Development and Decision-Making,ARTS
BIOL225,Plants and Civilization,BIOL
BIOL365,Methods in Bioinformatics,BIOL
BME284,Physiological and Biological Systems,BME
CHE312,Mathematics of Heat and Mass Transfer,CHE
CO380,Mathematical Discovery and Invention,CO
GBDA228,Digital Imaging for Online Applications,GBDA
GEOG309,Physical Climatology,GEOG
HLTH220,Psychosocial Perspectives on Lifespan Development and Health,HLTH
HLTH344,Qualitative Methods for Health Research,HLTH
INTEG221,The Social Nature of Knowledge,INTEG
KIN404,Physiology of Obesity and Type 2 Diabetes,KIN
LS102,Introduction to Criminal Law,LS
MSCI334,Operations Planning and Inventory Control,MSCI
MSCI343,Human-Computer Interaction,MSCI
NE334,Statistical Thermodynamics,NE
PHIL216,Probability and Decision Making,PHIL
PMATH450,Lebesgue Integration and Fourier Analysis,PMATH
PSYCH339,Personnel Psychology,PSYCH
REC270,Research Design Applicable to Leisure Studies,REC
SCI201,Global Warming and Climate Change,SCI
STAT444,Statistical Learning - Advanced Regression,STAT
SYDE522,Foundations of Artificial Intelligence,SYDE
WKRPT301,Work-term Report,WKRPT
AFM205,Introduction to Financial Services,AFM
AMATH332,Applied Complex Analysis,AMATH
BIOL140L,Microbiology Laboratory,BIOL
BME186,Chemistry Principles,BME
BME285,Engineering Biology,BME
CHEM357,Physical Biochemistry,CHEM
CIVE230,Engineering and Sustainable Development,CIVE
CO330,Combinatorial Enumeration,CO
CO353,Computational Discrete Optimization,CO
DRAMA102,Introduction to Performance,DRAMA
ENGL335,Creative Writing 1,ENGL
ENVE224,Probability and Statistics,ENVE
FR197,French Culture & Literature: Origins to 1715,FR
GBDA204,Working in Teams and Project Management,GBDA
GENE101,Strategies and Skills for Academic Success,GENE
HLTH303,Program Planning and Evaluation,HLTH
HLTH320,Psychosocial Perspectives on Lifespan Development and Health,HLTH
MSCI432,Production and Service Operations Management,MSCI
NE215,Probability and Statistics,NE
NE217,Advanced Calculus and Numerical Methods 2,NE
NE343,Microfabrication and Thin-film Technology,NE
PSYCH312,Learning Disabilities,PSYCH
REC120,Experience Design and Delivery,REC
SYDE372,Introduction to Pattern Recognition,SYDE
BUS283W,Financial Management 1 (WLU),BUS
BUS127W,Introduction to Financial Accounting (WLU),BUS
CIVE123,Electrical Circuits and Instrumentation,CIVE
HLTH380,Applied Public Health Ethics,HLTH
ACTSC431,Casualty and Health Insurance Mathematics 2,ACTSC
ACTSC446,Mathematics of Financial Markets,ACTSC
AVIA102,Professional Pilot Program Course 2,AVIA
BIOL449,Public Health Microbiology,BIOL
BME252,Linear Systems and Signals,BME
CHEM250L,Physical Chemistry Laboratory 1,CHEM
EARTH235,Stratigraphic Approaches to Understanding Earth's History,EARTH
ECE429,Computer Architecture,ECE
ECON322,Econometric Analysis 1,ECON
ENGL200B,English Literatures 2,ENGL
ENGL251A,Criticism 1,ENGL
ERS211,Environmental Analysis and Solutions IV: Restoration Ecology,ERS
FR252,French Language 2: Module 2,FR
GEOG310,Geodesy and Surveying,GEOG
KIN140L,Sports Injury Management Laboratory,KIN
MATH218,Differential Equations for Engineers,MATH
MSCI262,Managerial and Cost Accounting,MSCI
MTE200A,Seminar,MTE
MUSIC275,Music and Technology,MUSIC
NE232,Quantum Mechanics,NE
NE333,Macromolecular Science,NE
NE340L,Microfabrication and Thin-film Technology Laboratory,NE
PHIL220,Moral Issues,PHIL
PSCI101,Introduction to Political Ideas,PSCI
STAT334,Probability Models for Business and Accounting,STAT
STV210,The Computing Society,STV
SYDE102,Seminar,SYDE
AFM271,Managerial Finance 1,AFM
AFM333,International Business,AFM
AFM351,Audit Strategy,AFM
AFM382,Cost Management Systems,AFM
BET430,Sales Fundamentals,BET
BIOL351,Aquatic Ecology,BIOL
BIOL473,Mammalian Reproduction,BIOL
CHE231,Physical Chemistry 2,CHE
CHE290,Chemical Engineering Lab 1,CHE
CHEM200,Introduction to Laboratory Techniques,CHEM
CHEM360L,Senior Organic Chemistry Laboratory,CHEM
EARTH232,Introductory Petrography,EARTH
EARTH260,Introductory Applied Geophysics,EARTH
ECE320,Computer Architecture,ECE
ECE498B,Engineering Design Project,ECE
ERS315,Environmental and Sustainability Assessment 2,ERS
GBDA202,Digital Media Project 2,GBDA
MATH225,Applied Linear Algebra 2,MATH
MTE420,Power Electronics and Motor Drives,MTE
NE318,Continuum Mechanics for Nanotechnology Engineering,NE
PHYS239,Computational Physics 2,PHYS
PHYS375,Stars,PHYS
PSYCH336,Introduction to Clinical Psychology,PSYCH
SCBUS323,Workshop 3: Technology Development,SCBUS
SI101R,Introduction to Arabic 1,SI
MGMT244,Principles of Marketing,MGMT
AHS100,Foundations of a Healthy Lifestyle,AHS
AVIA310,Human Factors in Aviation,AVIA
BET420,Entrepreneurship for Social Impact,BET
BIOL345,Microorganisms in Foods,BIOL
BME213,Statistics and Experimental Design,BME
CHE181,Chemical Engineering Design Studio 2,CHE
CHE291,Chemical Engineering Lab 2,CHE
CHE330,Chemical Engineering Thermodynamics,CHE
CIVE125,Civil Engineering Concepts 1,CIVE
ENVE223,Differential Equations and Balance Laws,ENVE
FR297,French Culture & Literature: 1715 to the Present,FR
GEOG165,Computer Cartography: Principles and Design,GEOG
HIST205,History of Western Sport,HIST
HLTH340,Environmental Toxicology and Public Health,HLTH
KIN408,Cardiovascular Physiology and Pathophysiology,KIN
KIN429,Bone and Joint Health,KIN
LS221,Research Methods,LS
ME300A,Seminar,ME
MSCI436,Decision Support Systems,MSCI
MUSIC110,How Music Matters,MUSIC
NE222,Organic Chemistry for Nanotechnology Engineers,NE
NE344,Electronic Circuits,NE
PHIL265,The Existentialist Experience,PHIL
RUSS101,Elementary Russian 1,RUSS
SDS210R,Children's Rights in Canada,SDS
SOCWK220R,Social Work with Individuals - Theory and Practice 1,SOCWK
SOCWK222R,Community Organization,SOCWK
STAT433,Stochastic Processes 2,STAT
SYDE543,Cognitive Ergonomics,SYDE
ACTSC432,Credibility and Risk Theory,ACTSC
AFM401,Accounting Theory,AFM
BME285L,Engineering Biology Laboratory,BME
CHE322,Numerical Methods for Process Analysis and Design,CHE
CHEM101,Introduction to Biochemical Sciences,CHEM
EARTH238,Introductory Structural Geology,EARTH
EARTH458L,Field Methods in Hydrogeology,EARTH
ECE452,Software Design and Architectures,ECE
ECON302,Macroeconomic Theory 2,ECON
ECON361,Cost-Benefit Analysis and Project Evaluation,ECON
ENVE153,Earth Engineering,ENVE
ERS340,Ecosystem Assessment,ERS
GEOG293,Approaches to Research in Human Geography,GEOG
KIN330,Research Design,KIN
KIN427,Low Back Disorders,KIN
LS227,Criminology,LS
LS300,Sociology of Law,LS
ME566,Computational Fluid Dynamics for Engineering Design,ME
MSCI342,Principles of Software Engineering,MSCI
MSCI346,Database Systems,MSCI
MTE200B,Seminar,MTE
MUSIC240,Introduction to Jazz,MUSIC
NE115,Probability and Statistics,NE
PHIL221,Ethics,PHIL
PSYCH232,Psychology of Evil,PSYCH
PSYCH354,Interpersonal Relations,PSYCH
PSYCH389,Social Science Advanced Research Methods Topics,PSYCH
SE141,Digital Circuits and Systems,SE
SYDE461,Systems Design Capstone Project 1,SYDE
AFM425,Fixed Income Securities,AFM
ARBUS400,Strategy and Program Integration,ARBUS
BIOL434,Human Molecular Genetics,BIOL
BME284L,Physiology and Anatomy Laboratory,BME
CIVE127,Statics & Solid Mechanics 1,CIVE
CLAS105,Introduction to Medieval Studies,CLAS
CS484,Computational Vision,CS
DUTCH101,Elementary Dutch 1,DUTCH
EASIA203R,Japanese Culture and Society,EASIA
ECE201,Information Session,ECE
ECE406,Algorithm Design and Analysis,ECE
ECE473,Radio Frequency and Microwave Circuits,ECE
ECON100,Principles of Economics,ECON
ENGL190,Shakespeare,ENGL
ENGL295,Social Media,ENGL
ERS202,Natural Resources Ecology,ERS
ERS210,Environmental Analysis and Solutions III: Greening Communities,ERS
GBDA210,Introduction to User Experience Design,GBDA
GENE199,Special Topics in First-Year Engineering,GENE
GEOG318,Spatial Analysis,GEOG
GEOG371,Advanced Remote Sensing Techniques,GEOG
HLTH280,Applied Public Health Ethics,HLTH
HRM303,Compensation,HRM
LS229,Selected Topics in Criminology,LS
ME456,Heat Transfer 2,ME
ME597,Special Topics in Mechanical Engineering,ME
MSCI251,Probability and Statistics 1,MSCI
MSCI332,Deterministic Optimization Models and Methods,MSCI
MSCI333,Simulation Analysis and Design,MSCI
NE307,Introduction to Nanosystems Design,NE
NE330L,Macromolecular Science Laboratory,NE
NE352,Surfaces and Interfaces,NE
PLAN453,Urban Stormwater Management,PLAN
PMATH332,Applied Complex Analysis,PMATH
PMATH334,Introduction to Rings and Fields with Applications,PMATH
PSCI281,World Politics,PSCI
PSYCH354R,Interpersonal Relations,PSYCH
REC201,Leisure and Social Justice,REC
RS235,Jesus: Life and Legacy,RS
SOC202,Classical Sociological Theory,SOC
STAT442,Data Visualization,STAT
SYDE201,Seminar,SYDE
SYDE263,Engineering Prototyping,SYDE
VCULT101,Art History and Visual Culture,VCULT
GEOG205,Principles of Geomorphology,GEOG
GSJ101,Introduction to Gender and Social Justice: the Global North,GSJ
NE110,Introduction to Nanomaterials Health Risks,NE
AFM431,Professional Ethics for Financial Managers,AFM
AVIA204,Professional Pilot Program Course 4,AVIA
BASE32,Introduction to Skills & Strategies for University,BASE
BIOL346,Microbial Ecology and Diversity,BIOL
BIOL376,Cellular Neurophysiology,BIOL
BIOL447,Environmental Microbiology,BIOL
CHE314,Chemical Reaction Engineering,CHE
CHEM100,Introduction to Chemical Sciences,CHEM
CHEM333,Metabolism 1,CHEM
CO367,Nonlinear Optimization,CO
CO372,Portfolio Optimization Models,CO
COMM321,Intermediate Accounting for Finance,COMM
COOP6,Co-operative Work Term,COOP
CS335,Computational Methods in Business and Finance,CS
CS430,Applications Software Engineering,CS
CS490,Information Systems Management,CS
ECE486,Robot Dynamics and Control,ECE
ENGL208A,Forms of Fantasy,ENGL
ENVE115,Linear Algebra,ENVE
ENVE275,Environmental Chemistry,ENVE
GBDA205,Quantitative Methods,GBDA
HIST109,Ten Days That Shook the World,HIST
HIST223,The Holocaust in History,HIST
INTEG251,Creative Thinking,INTEG
ITAL102,Introduction to Italian Language 2,ITAL
JAPAN301R,Third-Year Japanese 1,JAPAN
LS271,Conflict Resolution,LS
LS283,Business Law,LS
ME548,Numerical Control of Machine Tools 1,ME
MNS102,Techniques for Materials and Nanosciences,MNS
MSCI422,Economic Impact of Technological Change and Entrepreneurship,MSCI
MTE482,Mechatronics Engineering Project,MTE
MUSIC216,Music Ensemble,MUSIC
NE202,Nanomaterials and Environmental Impact; Nanotechnology Engineering Practice,NE
PHIL240,Introduction to Formal Logic,PHIL
PHIL251,Metaphysics and Epistemology,PHIL
PHYS260L,Intermediate Physics Laboratory,PHYS
PHYS380,Molecular and Cellular Biophysics,PHYS
PLAN350,Research Methods for Planners,PLAN
PMATH370,Chaos and Fractals,PMATH
PSCI110,Introduction to Politics in the Contemporary World,PSCI
PSCI257,Introduction to Middle East Politics,PSCI
PSCI260,Canadian Government & Politics,PSCI
PSYCH320,Language Development,PSYCH
REC220,Program Management,REC
SPAN201A,Intermediate Spanish 1,SPAN
STAT316,Introduction to Statistical Problem Solving,STAT
SYDE348,User Centred Design Methods,SYDE
HEALTH100,Foundations of a Healthy Lifestyle,HEALTH
AMATH331,Applied Real Analysis,AMATH
AMATH373,Quantum Theory 1,AMATH
BASE36,Introduction to Academic Speaking and Communication Strategies,BASE
BIOL382,Computational Modelling of Cellular Systems,BIOL
BIOL469,Genomics,BIOL
BME355,Physiological Systems Modelling,BME
BME381,Biomedical Engineering Ethics,BME
CHEM221,Multi-Component Analysis,CHEM
CHEM356,Introductory Quantum Mechanics,CHEM
CIVE341,Transportation Engineering Applications,CIVE
CO227,Introduction to Optimization (Non-Specialist Level),CO
CO454,Scheduling,CO
CO480,History of Mathematics,CO
DRAMA101A,Introduction to the Theatre 1,DRAMA
EARTH281,Geological Impacts on Human Health,EARTH
ECE445,Integrated Digital Electronics,ECE
ECON391,Equilibrium in Market Economies,ECON
ENGL100A,Fiction,ENGL
ENGL210E,Genres of Technical Communication,ENGL
ERS275,Special Readings/Seminar on Select Topics,ERS
GEOG368,Conservation/Resource Management of the Built Environment,GEOG
HRM301,Strategic Human Resources Management,HRM
INDEV101,Issues in International Development,INDEV
INDEV200,The Political Economy of Development,INDEV
KIN312,Introduction to Neurological Disorders,KIN
KIN428,Upper Extremity Disorders,KIN
MATBUS471,Fixed Income Securities,MATBUS
ME599,Special Topics in Mechanical Engineering,ME
NE101,Nanotechnology Engineering Practice,NE
NE320L,Characterization of Materials Laboratory,NE
PHIL202,Gender Issues,PHIL
PHIL327,Philosophy of Law,PHIL
PHYS360A,Modern Physics Laboratory 1,PHYS
PLAN262,Introduction to Global Emerging Cities,PLAN
PLAN340,Canadian Environmental Policy and Politics,PLAN
PLAN362,Regional Planning and Economic Development,PLAN
PSCI244,Irrational and Rational Choices in Politics,PSCI
PSYCH340,Training and Development,PSYCH
REC151,Foundations of Therapeutic Recreation Practice,REC
REC205,Social Psychology of Leisure,REC
SMF211,Dynamics of Dating,SMF
SYDE202,Seminar,SYDE
WS102,Contemporary Women's Issues in Canada,WS
BUS231W,Business Law (WLU),BUS
MGMT171,Fundamentals of Personal and Business Finance,MGMT
HLTH217,Biochemistry for Health Sciences,HLTH
AFM461,Taxation 2,AFM
AMATH342,Computational Methods for Differential Equations,AMATH
BASE34,Introduction to Academic Writing and Research Skills,BASE
BASE44,Extended Academic Writing and Research Skills,BASE
BET580,Consulting,BET
BIOL443,Fermentation Biotechnology,BIOL
BME384,Biomedical Transport: Biofluids and Mass Transfer,BME
CHE361,Bioprocess Engineering,CHE
CHE420,Introduction to Process Control,CHE
CHEM331,Fundamentals of Metabolism 1,CHEM
CIVE292,Engineering Economics,CIVE
CIVE375,Environmental Engineering Principles,CIVE
CS475,Computational Linear Algebra,CS
DAC201,Designing Digital Media,DAC
ECE260,Electromechanical Energy Conversion,ECE
ECE405,Introduction to Quantum Mechanics,ECE
ECE413,Digital Signal Processing,ECE
ECE481,Digital Control Systems,ECE
ENGL210J,Technical Editing,ENGL
ENGL251,Literary Theory and Criticism,ENGL
ERS283,Ontario Natural History: Species and Patterns,ERS
FINE102,World Cinema and Visual Culture,FINE
GBDA303,Data and Society,GBDA
HLTH352,Sociology of Aging,HLTH
HLTH355,Public Health Nutrition,HLTH
KIN301,Human Anatomy of the Central Nervous System,KIN
ME200B,Seminar,ME
ME482,Mechanical Engineering Design Project 2,ME
MSCI245,Databases and Software Design,MSCI
MSCI253,Probability and Statistics 2,MSCI
MSCI434,Supply Chain Management,MSCI
MSCI454,Technical Entrepreneurship,MSCI
MSCI541,Search Engines,MSCI
NE226L,Laboratory Characterization Methods,NE
PORT101,Introduction to Portuguese 1,PORT
PSYCH307,Human Neuropsychology,PSYCH
PSYCH334R,Theories of Individual Counselling Psychology,PSYCH
SOC222,Juvenile Delinquency,SOC
SPCOM228,Public Communication,SPCOM
STAT450,Estimation and Hypothesis Testing,STAT
SYDE462,Systems Design Capstone Project 2,SYDE
SYDE533,Conflict Resolution,SYDE
ECON260W,Int Microec Anal for Mgt (WLU),ECON
BUS354W,Human Resources Management (WLU),BUS
ECE457C,Reinforcement Learning,ECE
MTE321,Design and Dynamics of Machines,MTE
COMMST225,Interviewing,COMMST
AFM322,Derivative Securities,AFM
AFM492,Financial Statement Analysis,AFM
ANTH241,Food as Culture,ANTH
BET340,Essentials of Entrepreneurial Planning and Execution,BET
BIOL335L,Molecular Biology Techniques,BIOL
BME364,Engineering Biomedical Economics,BME
CHE313,Applications of Heat and Mass Transfer,CHE
CHE390,Chemical Engineering Lab 3,CHE
CIVE199,Seminar,CIVE
CO485,The Mathematics of Public-Key Cryptography,CO
CS462,Formal Languages and Parsing,CS
EARTH123L,Field Methods in Hydrology,EARTH
EARTH223,Field Methods in Hydrology,EARTH
EASIA204R,Korean Culture and Society,EASIA
ECE403,Thermal Physics,ECE
ECE493,Special Topics in Electrical and Computer Engineering,ECE
ECON321,Introduction to Econometrics,ECON
ECON323,Econometric Analysis 2,ECON
ENGL208C,Studies in Children's Literature,ENGL
ERS270,Introduction to Sustainable Agroecosystems,ERS
ERS317,Waste Management,ERS
GBDA301,Global Digital Project 1,GBDA
GENE403,Interdisciplinary Design Project 1,GENE
GEOG270,Remotely Piloted Aircraft Systems (RPAS) Knowledge Requirements,GEOG
GEOG361,Food Systems and Sustainability,GEOG
GEOG481,Geographic Information Systems Project,GEOG
HIST236,Law and Society in the Middle Ages,HIST
HLTH273,Contemporary Issues in Health 2,HLTH
HLTH301,Applied Health Promotion: Theory and Community Engagement,HLTH
HLTH360,Psychological Determinants of Health,HLTH
HLTH410,Health Policy,HLTH
INTEG320,The Museum Course: Research and Design,INTEG
LS280,Social Statistics,LS
ME435,Industrial Metallurgy,ME
MNS211,Chemistry and the Solid State,MNS
NE345,Photonic Materials and Devices,NE
NE451,Simulation Methods,NE
PHIL100,Introduction to Philosophy,PHIL
PHYS434,Quantum Physics 3,PHYS
PLAN309,Site Planning and Design Studio,PLAN
PMATH331,Applied Real Analysis,PMATH
PSCI283,International Political Economy,PSCI
PSYCH306,Perception,PSYCH
PSYCH353,Social Cognition,PSYCH
SCI237,Exploring the Universe,SCI
SDS220R,Changing Concepts of Childhood,SDS
SE402,Seminar,SE
SMF205,The Dark Side of Sexuality,SMF
SOCWK300R,Canadian Social Welfare Policy,SOCWK
REC219,Introduction to Event Studies,REC
ACTSC363,Casualty and Health Insurance Mathematics 1,ACTSC
BUS247W,Managerial Accounting (WLU),BUS
MGMT220,Entrepreneurship and the Creative Workplace,MGMT
MTE484,Control Applications,MTE
AFM462,Specialized Topics in Taxation,AFM
AFM479,Cases and Applications in Finance 2,AFM
AMATH456,Calculus of Variations,AMATH
BIOL208,Analytical Methods in Molecular Biology,BIOL
BIOL325,Flowering Plants,BIOL
BIOL370,Comparative Animal Physiology: Environmental Aspects,BIOL
BME461,Biomedical Engineering Design Workshop 2,BME
CHE331,Electrochemical Engineering,CHE
CHE480,Process Analysis and Design,CHE
CHINA202R,Second-Year Chinese 2,CHINA
CIVE240,Engineering and Sustainable Development,CIVE
CIVE491,Engineering Law and Ethics,CIVE
CS431,Data-Intensive Distributed Analytics,CS
CS436,Networks and Distributed Computer Systems,CS
DAC202,Designing Digital Video,DAC
EARTH333,Introductory Sedimentology,EARTH
EARTH390,Methods in Geological Mapping,EARTH
EASIA202R,Chinese Culture and Society,EASIA
ECE231,Semiconductor Physics and Devices,ECE
ECE400B,Electrical and Computer Engineering Practice,ECE
ECON241,Introduction to Public Economics,ECON
ENGL108G,Horror,ENGL
ENGL294,Introduction to Critical Game Studies,ENGL
ENGL309C,Contemporary Rhetoric,ENGL
ERS335,Restoration Ecology,ERS
FR250,Intermediate Spoken French,FR
GBDA304,Marketing in the Digital World,GBDA
GEOG356,Resources Management,GEOG
GERON201,Aging and Health,GERON
HLTH173,Contemporary Issues in Health 1,HLTH
HLTH346,Human Nutrition,HLTH
